_excel_row_number,id,user_id,clinic_id,role,created_at,updated_at,created_by,updated_by,is_deleted,deleted_at,deleted_by
14,bb0c1deb-5e4e-4451-8be3-98a42cdcf53b,356c610a-379b-40e0-90b2-b3d6956a5e36,99efa33e-8a21-4b1f-a5ac-92f920e69179,clinic_admin,2026-03-05 00:59:41.783294+00,2026-03-05 00:59:41.783294+00,,,f,,
15,9a00ea7a-fda1-4b66-bb64-d16864ee4c29,1c2593a7-1aad-457a-b536-9d568f49dd96,99efa33e-8a21-4b1f-a5ac-92f920e69179,clinic_admin,2026-03-05 10:15:07.189596+00,2026-03-05 10:15:07.189596+00,,,f,,
16,c7946b53-2e74-4da7-8005-541e25c8eb46,fd605435-d71c-4c25-9a46-43f3b9e6e989,99efa33e-8a21-4b1f-a5ac-92f920e69179,it_staff,2026-03-12 09:26:22.469565+00,2026-03-12 09:26:22.469565+00,,,f,,
17,61aa6427-085a-4ff9-a4a7-6ffdca3647a4,73b5d951-4eea-4c2c-b23d-46f66f61eb67,d5ac6269-d8cf-4821-ac8b-a6341e68987b,clinic_owner,2026-02-05 11:32:40.422743+00,2026-02-05 11:32:40.422743+00,,,f,,
18,c1344b4a-3ad2-457e-88dd-05c9efdf3f03,73b5d951-4eea-4c2c-b23d-46f66f61eb67,e137130e-ce05-403d-aa63-d4d63e03699d,clinic_owner,2026-03-14 03:59:32.518111+00,2026-03-14 03:59:32.518111+00,,,f,,
19,18167013-6ecb-40ea-a294-5434b90344ad,3d965e54-bae9-43c1-8689-f53f7d5a921f,d5ac6269-d8cf-4821-ac8b-a6341e68987b,clinic_owner,2026-02-05 10:33:44.317341+00,2026-02-05 10:33:44.317341+00,,,f,,
20,5ccfbe95-edfa-4b15-9dd3-18ac54dd0dbd,3d965e54-bae9-43c1-8689-f53f7d5a921f,e137130e-ce05-403d-aa63-d4d63e03699d,clinic_owner,2026-03-14 03:59:07.376779+00,2026-03-14 03:59:07.376779+00,,,f,,
21,46684ebf-31ed-4b10-9b3f-1bbb739b137c,fceaa474-bf52-479e-86f9-7d940e2e48fc,e137130e-ce05-403d-aa63-d4d63e03699d,doctor,2026-03-15 13:31:24.847575+00,2026-03-15 13:31:24.847575+00,,,f,,
22,a79fc3ae-ae68-471f-a362-1cb54a422359,ea1355c7-7d62-4b98-848d-04641c9132b9,e137130e-ce05-403d-aa63-d4d63e03699d,clinic_admin,2026-03-14 03:58:40.302048+00,2026-03-14 03:58:40.302048+00,,,t,2026-03-14 04:09:18.183+00,
23,167dae10-b1c7-4f36-8a8b-e6966d8a931e,ea1355c7-7d62-4b98-848d-04641c9132b9,d5ac6269-d8cf-4821-ac8b-a6341e68987b,clinic_owner,2026-02-05 08:46:43.453989+00,2026-02-05 08:46:43.453989+00,,,f,,
24,42bd25ef-14f7-471a-8a0e-a614261dbbb5,ea1355c7-7d62-4b98-848d-04641c9132b9,99efa33e-8a21-4b1f-a5ac-92f920e69179,clinic_owner,2026-03-14 04:09:29.724896+00,2026-03-14 04:09:29.724896+00,,,f,,
25,bace8fd3-a881-4bda-ba69-09fe00946306,0a2ec4fa-9db6-4cac-8e24-39af7d9f0c3e,d5ac6269-d8cf-4821-ac8b-a6341e68987b,clinic_owner,2026-02-05 10:41:50.459971+00,2026-02-05 10:41:50.459971+00,,,f,,
26,a85950c8-25a3-4913-8edd-74a9d77179c5,0a2ec4fa-9db6-4cac-8e24-39af7d9f0c3e,e137130e-ce05-403d-aa63-d4d63e03699d,clinic_owner,2026-03-14 03:59:58.803433+00,2026-03-14 03:59:58.803433+00,,,f,,
