_excel_row_number,id,code,name_vi,name_en,category,chapter,is_active,display_order,created_at
13,391ad3a1-2096-4904-ac08-e38a30c66b5b,E0800,Đái tháo đường do tình trạng tiềm ẩn với tăng áp lực thẩm thấu máu không có hôn mê tăng áp lực thẩm thấu và tăng đường huyết không nhiễm ceton (NKHHC),Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),E08,E,t,0,2026-03-24 09:08:36.52701+00
14,1ac48729-cb7b-4ef1-8164-41e01ed3eccf,E0801,Đái tháo đường do tình trạng tiềm ẩn với tăng áp lực thẩm thấu máu có hôn mê,Diabetes mellitus due to underlying condition with hyperosmolarity with coma,E08,E,t,0,2026-03-24 09:08:36.52701+00
15,64d02761-3acc-444e-bbfc-08a288fdccd0,E0810,Đái tháo đường do tình trạng tiềm ẩn với nhiễm toan ceton không có hôn mê,Diabetes mellitus due to underlying condition with ketoacidosis without coma,E08,E,t,0,2026-03-24 09:08:36.52701+00
16,1f493f01-57ec-49b7-969c-74a8ae216ff1,E0811,Đái tháo đường do tình trạng tiềm ẩn với nhiễm toan ceton có hôn mê,Diabetes mellitus due to underlying condition with ketoacidosis with coma,E08,E,t,0,2026-03-24 09:08:36.52701+00
17,59e29884-b31d-42f6-94ab-7549922b1152,E0821,Đái tháo đường do tình trạng tiềm ẩn với bệnh thận do đái tháo đường,Diabetes mellitus due to underlying condition with diabetic nephropathy,E08,E,t,0,2026-03-24 09:08:36.52701+00
18,234e5798-2fff-4288-adf8-3c0e6317f3bf,E0822,Đái tháo đường do tình trạng tiềm ẩn với bệnh thận mạn tính do đái tháo đường,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,E08,E,t,0,2026-03-24 09:08:36.52701+00
19,b821bdf3-39fd-41d6-9467-9fdeb74d150d,E0829,Đái tháo đường do tình trạng tiềm ẩn với biến chứng thận khác do đái tháo đường,Diabetes mellitus due to underlying condition with other diabetic kidney complication,E08,E,t,0,2026-03-24 09:08:36.52701+00
20,23f0aab6-ff3f-4b58-8d66-f55deeb503b4,E08311,Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không đặc hiệu có phù hoàng điểm,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,E08,E,t,0,2026-03-24 09:08:36.52701+00
21,f1963f48-eb93-4724-864a-aab8cd8b400f,E08319,Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không đặc hiệu không có phù hoàng điểm,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema,E08,E,t,0,2026-03-24 09:08:36.52701+00
22,6dc4a487-5e89-4832-857b-2751039830cc,E083211,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh nhẹ có phù hoàng điểm, mắt phải","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
23,24c723f0-2d16-4b5d-92e3-044ad773cf2b,E083212,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh nhẹ có phù hoàng điểm, mắt trái","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
24,1b1a5a8c-455b-4c49-a853-27c563858ed8,E083213,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh nhẹ có phù hoàng điểm, hai mắt","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral",E08,E,t,0,2026-03-24 09:08:36.52701+00
25,908b8d37-f78c-4acf-be2c-ac4dab7d033e,E083219,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh nhẹ có phù hoàng điểm, mắt không xác định","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
26,f9080134-aa43-4ed1-8579-c000c807357d,E083291,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh nhẹ không có phù hoàng điểm, mắt phải","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
27,0a9db035-3a44-434b-981a-8f201e8fcbe8,E083292,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh nhẹ không có phù hoàng điểm, mắt trái","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
28,c14f8b3d-20d9-4cac-b33a-d424677853df,E083293,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh nhẹ không có phù hoàng điểm, hai mắt","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, bilateral",E08,E,t,0,2026-03-24 09:08:36.52701+00
29,b2835e61-bce5-4ec2-ac2e-a1caad6d6e12,E083299,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh nhẹ không có phù hoàng điểm, mắt không xác định","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
30,8f22a2d3-a4c5-4d81-bb94-b9ff0e948fb7,E083311,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh trung bình có phù hoàng điểm, mắt phải","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, right eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
31,164e0580-27c6-42b3-814c-cdcc07bd5dc0,F5113,Tăng ngủ do rối loạn tâm thần khác,Hypersomnia due to other mental disorder,F51,F,t,0,2026-03-24 09:08:36.915355+00
32,487bc955-2a0c-4739-8343-341def01bb93,K30,Khó tiêu chức năng,Functional dyspepsia,K30,K,t,0,2026-01-30 17:24:09.040969+00
33,9086218c-100c-4f6b-a4cc-aef0de32f3c6,M00121,"Viêm khớp do phế cầu khuẩn, khuỷu tay phải","Pneumococcal arthritis, right elbow",M00,M,t,0,2026-03-24 09:08:38.429864+00
34,35e73593-5772-4301-ab4f-6fa0a7ef7154,M00149,"Viêm khớp do phế cầu khuẩn, bàn tay không xác định","Pneumococcal arthritis, unspecified hand",M00,M,t,0,2026-03-24 09:08:38.429864+00
35,c622b54b-1f1b-4378-a224-30e2b0fd462a,E083312,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh trung bình có phù hoàng điểm, mắt trái","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, left eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
36,42cbe49c-9664-4535-9c5f-1dab0e586b55,E083313,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh trung bình có phù hoàng điểm, hai mắt","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",E08,E,t,0,2026-03-24 09:08:36.52701+00
37,73170a79-08d0-45f1-a62b-2317e3bbdd83,E083319,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh trung bình có phù hoàng điểm, mắt không xác định","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
38,945b0255-1abf-43be-ac37-76ef76bf0eb3,E083391,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh trung bình không có phù hoàng điểm, mắt phải","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
39,797b474a-236c-4a4b-860f-5fbab815f90d,E083392,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh trung bình không có phù hoàng điểm, mắt trái","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, left eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
40,18ed67de-f773-4bf4-96b0-a671024995de,E083393,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh trung bình không có phù hoàng điểm, hai mắt","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",E08,E,t,0,2026-03-24 09:08:36.52701+00
41,d2eb5abd-9686-4eb9-8a31-f952087d24b1,E083399,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường không tăng sinh trung bình không có phù hoàng điểm, mắt không xác định","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
42,e8bdaa60-bd35-414f-8d1d-886654dfddc6,E083411,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh nặng có phù hoàng điểm, mắt phải","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, right eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
43,640bc9b9-322c-491f-abca-5b2c2c0f25b9,E083412,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh nặng có phù hoàng điểm, mắt trái","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
44,2d270b97-8442-4a53-827d-ae78f4afda6a,E083413,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh nặng có phù hoàng điểm, hai mắt","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral",E08,E,t,0,2026-03-24 09:08:36.52701+00
45,10d6f4bf-d716-4bc3-b748-29e1f8fe9b4b,E083419,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh nặng có phù hoàng điểm, mắt không xác định","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
46,a25d5de6-da7c-4cd2-8654-3003227806c2,E083491,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh nặng không có phù hoàng điểm, mắt phải","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
47,e76fbfec-b225-481f-9f3f-ee92a44e88e2,E083492,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh nặng không có phù hoàng điểm, mắt trái","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
48,3c1787f8-e8fb-4b1a-93e4-ec81c4bbb92f,E083493,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh nặng không có phù hoàng điểm, hai mắt","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral",E08,E,t,0,2026-03-24 09:08:36.52701+00
49,e4063314-45c6-4fac-bda9-fc552373550c,F5119,Tăng ngủ khác không do chất hoặc tình trạng sinh lý đã biết,Other hypersomnia not due to a substance or known physiological condition,F51,F,t,0,2026-03-24 09:08:36.915355+00
50,bb33adce-9f0e-4a96-ad1b-a2fbd8987f86,A000,"Bệnh tả do phẩy khuẩn tả 01, sinh chủng tả","Cholera due to Vibrio cholerae 01, biovar cholerae",A00,A,t,0,2026-03-24 09:08:35.822438+00
51,9953c0cd-f199-4713-a524-013560c08afe,A001,"Bệnh tả do phẩy khuẩn tả 01, sinh chủng eltor","Cholera due to Vibrio cholerae 01, biovar eltor",A00,A,t,0,2026-03-24 09:08:35.822438+00
52,8273857f-06a0-4e74-af86-249a14b4f661,A009,"Bệnh tả, không đặc hiệu","Cholera, unspecified",A00,A,t,0,2026-03-24 09:08:35.822438+00
53,00542139-9cea-4032-a2e1-315e7251be23,A0100,"Sốt thương hàn, không đặc hiệu","Typhoid fever, unspecified",A01,A,t,0,2026-03-24 09:08:35.822438+00
54,902d05aa-2922-4dc7-88c2-7714e3eb8d23,A0101,Viêm màng não do thương hàn,Typhoid meningitis,A01,A,t,0,2026-03-24 09:08:35.822438+00
55,d00193f7-9250-457b-911a-36d7b53422f4,A0102,Sốt thương hàn có ảnh hưởng tim,Typhoid fever with heart involvement,A01,A,t,0,2026-03-24 09:08:35.822438+00
56,fae77150-fd3e-46a9-8920-f4ae4bddfea5,A0103,Viêm phổi do thương hàn,Typhoid pneumonia,A01,A,t,0,2026-03-24 09:08:35.822438+00
57,abdb3645-5ff6-4d61-bd16-83e7ad452251,A0104,Viêm khớp do thương hàn,Typhoid arthritis,A01,A,t,0,2026-03-24 09:08:35.822438+00
58,4a516d32-bb0b-415a-88a2-5b49f315b3c2,A0105,Viêm tủy xương do thương hàn,Typhoid osteomyelitis,A01,A,t,0,2026-03-24 09:08:35.822438+00
59,1fbfe1b3-fb6c-4ad7-8293-dabe3eaaf3d1,A0109,Sốt thương hàn với các biến chứng khác,Typhoid fever with other complications,A01,A,t,0,2026-03-24 09:08:35.822438+00
60,7288767c-c18d-4488-864d-5e40e8930e97,A011,Sốt phó thương hàn A,Paratyphoid fever A,A01,A,t,0,2026-03-24 09:08:35.822438+00
61,1933c772-b410-44f4-aaaf-23faf5bb1a17,A012,Sốt phó thương hàn B,Paratyphoid fever B,A01,A,t,0,2026-03-24 09:08:35.822438+00
62,605c03fe-a95a-4519-9b0b-b107e3cb0492,A013,Sốt phó thương hàn C,Paratyphoid fever C,A01,A,t,0,2026-03-24 09:08:35.822438+00
63,21e5a368-09d5-486a-bd08-974cf5046c49,A014,"Sốt phó thương hàn, không đặc hiệu","Paratyphoid fever, unspecified",A01,A,t,0,2026-03-24 09:08:35.822438+00
64,57bbb494-1b9b-4306-b2f2-5331401ad293,A020,Viêm ruột do Salmonella,Salmonella enteritis,A02,A,t,0,2026-03-24 09:08:35.822438+00
65,7de6719c-cf70-42b7-a494-c6deb7c612ee,A021,Nhiễm khuẩn huyết do Salmonella,Salmonella sepsis,A02,A,t,0,2026-03-24 09:08:35.822438+00
66,3c44ac2e-5390-4128-80d4-8fda2167a0c1,A0220,"Nhiễm khuẩn Salmonella khu trú, không đặc hiệu","Localized salmonella infection, unspecified",A02,A,t,0,2026-03-24 09:08:35.822438+00
67,d32c342d-7734-4ecd-a98e-4edb483f2471,E083499,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh nặng không có phù hoàng điểm, mắt không xác định","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
68,8b580141-1a52-49b7-9ab8-463c396c17c0,E083511,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh có phù hoàng điểm, mắt phải","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
69,56662942-a259-45dd-9003-c1221be0ca90,E083512,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh có phù hoàng điểm, mắt trái","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
70,20dc964f-5937-4d2e-9950-4bf558968baa,E083513,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh có phù hoàng điểm, hai mắt","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral",E08,E,t,0,2026-03-24 09:08:36.52701+00
71,b90d31bf-1dcd-4e7c-ab53-fdde10577650,E083519,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh có phù hoàng điểm, mắt không xác định","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
72,a773b3e8-4c5f-4a55-be2c-22370cc9ef7e,E083521,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh có bong võng mạc do co kéo liên quan đến hoàng điểm, mắt phải","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
73,9b6d22fe-bd82-4a68-92b4-f848def0212e,E083522,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh có bong võng mạc do co kéo liên quan đến hoàng điểm, mắt trái","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
74,a682d637-e41d-45d6-b56e-9badabd1e6d8,E083523,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh có bong võng mạc do co kéo liên quan đến hoàng điểm, hai mắt","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",E08,E,t,0,2026-03-24 09:08:36.52701+00
75,4c268b22-09fd-4173-9489-40a6719a1c95,E083529,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh có bong võng mạc do co kéo liên quan đến hoàng điểm, mắt không xác định","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
76,2ca690d0-5954-42eb-9573-532e1b18839d,E083531,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh có bong võng mạc do co kéo không liên quan đến hoàng điểm, mắt phải","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
77,12059934-0139-4a3a-9f4e-8de8cff8c342,E083532,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh có bong võng mạc do co kéo không liên quan đến hoàng điểm, mắt trái","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
78,3a663324-81e9-4f05-b1ca-808d6e7fcbf4,E083533,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh có bong võng mạc do co kéo không liên quan đến hoàng điểm, hai mắt","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",E08,E,t,0,2026-03-24 09:08:36.52701+00
79,b7c41454-9e60-4c63-8286-a76579289b0e,E083539,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh có bong võng mạc do co kéo không liên quan đến hoàng điểm, mắt không xác định","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
80,6e3b270b-53c6-4a95-ba7e-91da5b1993a6,F513,Mộng du,Sleepwalking [somnambulism],F51,F,t,0,2026-03-24 09:08:36.915355+00
81,d442d2f9-8a46-4577-add7-6fd0a6456289,F514,Ác mộng ban đêm (hoảng sợ ban đêm),Sleep terrors [night terrors],F51,F,t,0,2026-03-24 09:08:36.915355+00
82,04dc8194-c84a-4b9b-aaf1-b4782b55c353,F515,Rối loạn ác mộng,Nightmare disorder,F51,F,t,0,2026-03-24 09:08:36.915355+00
83,a814d0e1-0f04-4e0c-9f7c-e36c87a0c600,A0222,Viêm phổi do Salmonella,Salmonella pneumonia,A02,A,t,0,2026-03-24 09:08:35.822438+00
84,e0d08c5f-b0dc-438a-b1cf-8e2e701e1a9d,A0223,Viêm khớp do Salmonella,Salmonella arthritis,A02,A,t,0,2026-03-24 09:08:35.822438+00
85,9b37ba7a-b23f-436a-82c1-05f09c00714d,A0224,Viêm xương tủy do Salmonella,Salmonella osteomyelitis,A02,A,t,0,2026-03-24 09:08:35.822438+00
86,70cf05d0-cc67-44f1-8940-ae377aaaadc6,A0225,Viêm thận bể thận do Salmonella,Salmonella pyelonephritis,A02,A,t,0,2026-03-24 09:08:35.822438+00
87,5aaa6b5b-c0b6-4f7e-aa50-e6d75440f0c6,A0229,Nhiễm Salmonella với nhiễm trùng cục bộ khác,Salmonella with other localized infection,A02,A,t,0,2026-03-24 09:08:35.822438+00
88,72882b92-9780-43b6-8ad9-ac1a20c910f6,A028,Các nhiễm trùng Salmonella được chỉ định khác,Other specified salmonella infections,A02,A,t,0,2026-03-24 09:08:35.822438+00
89,7e941290-c074-4d29-b3f9-9cb878d554c2,A029,"Nhiễm trùng Salmonella, không xác định","Salmonella infection, unspecified",A02,A,t,0,2026-03-24 09:08:35.822438+00
90,41062538-f725-4bab-b44f-5e5dfa090a98,A030,Lỵ do Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,A03,A,t,0,2026-03-24 09:08:35.822438+00
91,2ea0de65-8d64-4d49-a5d9-a3b5ae616d42,A031,Lỵ do Shigella flexneri,Shigellosis due to Shigella flexneri,A03,A,t,0,2026-03-24 09:08:35.822438+00
92,3797daa3-7241-4162-a9f7-f89d709164b6,A032,Lỵ do Shigella boydii,Shigellosis due to Shigella boydii,A03,A,t,0,2026-03-24 09:08:35.822438+00
93,fe923e2d-0a8f-464e-806d-965e3b194f4e,A033,Lỵ do Shigella sonnei,Shigellosis due to Shigella sonnei,A03,A,t,0,2026-03-24 09:08:35.822438+00
94,9d7aa46e-3b56-4b1f-8c7b-535e506b940e,A038,Các bệnh lỵ khác,Other shigellosis,A03,A,t,0,2026-03-24 09:08:35.822438+00
95,80ad0983-2759-4c7d-b7cf-7c1e1e602625,A039,"Bệnh lỵ, không xác định","Shigellosis, unspecified",A03,A,t,0,2026-03-24 09:08:35.822438+00
96,6db25bd2-cc43-41bb-ab47-bd27175701cb,A040,Nhiễm vi khuẩn đường ruột Escherichia coli,Enteropathogenic Escherichia coli infection,A04,A,t,0,2026-03-24 09:08:35.822438+00
97,3fb7103c-2cc4-46f8-b529-1c5a25e7ea11,A041,Nhiễm vi khuẩn có độc tố ruột Escherichia coli,Enterotoxigenic Escherichia coli infection,A04,A,t,0,2026-03-24 09:08:35.822438+00
98,134f4f6d-071f-4281-873a-dea09d06a371,A042,Nhiễm vi khuẩn xâm nhập đường ruột Escherichia coli,Enteroinvasive Escherichia coli infection,A04,A,t,0,2026-03-24 09:08:35.822438+00
99,e029cc28-98fc-49ab-aacd-f3009aa90594,E083541,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh với bong võng mạc do co kéo và bong võng mạc do rách đồng thời, mắt phải","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
100,2d5d37d6-6e8f-4c03-a9a6-d94490bed6d5,E083542,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh với bong võng mạc do co kéo và bong võng mạc do rách đồng thời, mắt trái","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
101,3fb51e4f-775e-4ea5-aa5f-c35017dd1b91,E083543,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh với bong võng mạc do co kéo và bong võng mạc do rách đồng thời, hai mắt","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",E08,E,t,0,2026-03-24 09:08:36.52701+00
102,ad3fc068-50ad-48f1-a6cd-68edc89d0915,E083549,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh với bong võng mạc do co kéo và bong võng mạc do rách đồng thời, mắt không xác định","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
103,234ad3e4-c6cc-4e76-8cdd-1b5baad05791,E083551,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh ổn định, mắt phải","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
104,74dd0387-531f-4c9a-8f43-2c56200662e2,E083552,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh ổn định, mắt trái","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",E08,E,t,0,2026-03-24 09:08:36.52701+00
105,68b64341-a5a0-4d89-a299-ef01dd1613d8,E083553,"Đái tháo đường do tình trạng tiềm ẩn với bệnh võng mạc đái tháo đường tăng sinh ổn định, hai mắt","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral",E08,E,t,0,2026-03-24 09:08:36.52701+00
