_excel_row_number,id,clinic_id,code,name,name_en,description,package_price_vnd,original_price_vnd,discount_percent,is_active,display_order,valid_days,created_at,updated_at,created_by,updated_by,is_deleted,deleted_at,deleted_by,name_km,currency_code
12,6e1a19be-b70c-4e74-9d62-06c5825fd7a1,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0011,Testing for hepatitis B and C Virus,Testing for hepatitis B and C Virus,,0,0,0.00,t,11,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
13,b0894302-b2e4-4fa0-ba1f-8ec19740cd38,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0012,Screening for hepatitis virus before vaccination,Screening for hepatitis virus before vaccination,,0,0,0.00,t,12,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
14,4ca97a31-2f17-49b3-907f-4d57111e21ea,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0013,Count liver flukes B and C,Count liver flukes B and C,,0,0,0.00,t,13,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
15,228a208b-b2d4-49cd-a10e-6fda571b2e03,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0014,check urinary Function,check urinary Function,,0,0,0.00,t,14,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
16,ccc3540b-d5a9-4209-abc9-49f48b0db8d1,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0015,check for fraudulent activity,check for fraudulent activity,,0,0,0.00,t,15,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
17,56c4375c-844a-4319-b4e1-112d8bea522e,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0016,Check for hypertension,Check for hypertension,,0,0,0.00,t,16,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
18,44684656-5455-437f-9c64-3f48b7ad689b,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0017,Check for intestinal diseases,Check for intestinal diseases,,0,0,0.00,t,17,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
19,010f334a-2d3b-40a8-8dee-63d2cdf3211e,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0018,check for insects in the blood,check for insects in the blood,,0,0,0.00,t,18,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
20,16dab482-4cd8-4ee8-ae85-64b2a907ab4f,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0019,Test for arthritis,Test for arthritis,,0,0,0.00,t,19,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
21,a5cc6d66-851a-4581-a1e4-9e7fdaca9d24,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0020,check for male cancer,check for male cancer,,0,0,0.00,t,20,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
22,02d8d298-7448-40c2-a2e4-2f3f4c0e4452,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0021,check for female cancer,check for female cancer,,0,0,0.00,t,21,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
23,8238c30e-ed8b-4663-a110-18f830574963,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0022,check for blood cancer,check for blood cancer,,0,0,0.00,t,22,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
24,f3e48b25-03ed-4e22-923c-ec7c8eb13d4c,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0023,Liver cancer screening,Liver cancer screening,,0,0,0.00,t,23,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
25,6be10a42-d0b7-4d89-b592-340c614ac8e7,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0024,Check for obese children,Check for obese children,,0,0,0.00,t,24,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
26,1cda3320-ee0e-41d2-87b3-6e128eab79ee,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0025,Check for gonorrhea,Check for gonorrhea,,0,0,0.00,t,25,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
27,bc553a2b-7525-44e1-ae8c-c9fb082d0e93,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0026,Check for anemia,Check for anemia,,0,0,0.00,t,26,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
28,db17bbc8-bb79-44ff-b934-ed42660d0141,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0027,Check for heart disease,Check for heart disease,,0,0,0.00,t,27,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
29,1101e4ee-1edd-48dd-9e60-cca43960118f,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0028,Check for sexually transmitted diseases,Check for sexually transmitted diseases,,0,0,0.00,t,28,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
30,b27bb969-fa23-44f9-8f58-b1a659ab1676,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0029,Drug Testing,Drug Testing,,0,0,0.00,t,29,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
31,d0d01190-8db8-40d5-8a71-01239b294980,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0030,Check for stomach viruses in the blood,Check for stomach viruses in the blood,,0,0,0.00,t,30,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
32,e7b83d86-f2e0-4254-8166-e60a4559398f,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0031,Check for stomach viruses by blowing air,Check for stomach viruses by blowing air,,0,0,0.00,t,31,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
33,d5b5630e-ce3e-4ebc-a6fe-2b123a437fee,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0032,Check for intestinal inflammation,Check for intestinal inflammation,,0,0,0.00,t,32,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
34,2c0afbf7-f2ae-407e-bf5b-8a7aa1dfb9c8,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0033,Blood test,Blood test,,0,0,0.00,t,33,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
35,5cdf87d8-814e-4aa8-aa81-08e9dd5a3a6b,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0034,Check for osteoporosis,Check for osteoporosis,,0,0,0.00,t,34,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
36,b41b0ee4-304a-48fa-bb5b-3ecd4e98f508,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0035,Check for high blood pressure,Check for high blood pressure,,0,0,0.00,t,35,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
