_excel_row_number,id,translation_key,language_code,value,created_at,updated_at,created_by,updated_by
39,fb565be7-73c2-4159-b462-cc2925f8e16a,admin.appointments.newAppointment,km,ការណាត់ថ្មី,2026-01-30 07:17:54.380955+00,2026-01-30 07:17:54.380955+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
40,e350e7e3-f536-48b6-9aaf-00678163bc66,admin.appointments.newAppointment,en,New Booking,2026-01-30 07:17:54.385544+00,2026-01-30 07:17:54.385544+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
41,ca4abe9e-c9a1-4e26-a9f6-91b19f6cbbb2,admin.clinic.general.timeDate.timezone,km,តំបន់ពេលវេលា,2026-01-30 07:18:03.010115+00,2026-01-30 07:18:03.010115+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
42,4532ba0e-07b7-4ed2-b0a2-b01ac96112c8,admin.clinic.general.timeDate.timezone,vi,Múi giờ,2026-01-30 07:18:03.011967+00,2026-01-30 07:18:03.011967+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
43,ce0ea07a-382f-4778-be90-91256fb5bfca,admin.clinic.general.timeDate.timezone,en,Timezone,2026-01-30 07:18:03.013285+00,2026-01-30 07:18:03.013285+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
44,dd669dfd-b8ab-441d-8dcf-6c9eb0300a63,admin.clinic.lab.add,vi,Thêm phòng Lab,2026-01-30 07:14:16.229006+00,2026-01-30 07:18:33.467101+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
45,cd6b6dba-8515-42c3-ab45-246731133efd,admin.clinic.lab.add,en,Add Lab,2026-01-30 07:14:16.233691+00,2026-01-30 07:18:33.471635+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
46,f9403e3f-9b48-4e6f-8ccd-3e88b6fa811e,admin.clinic.lab.add,km,បន្ថែមមន្ទីរពិសោធន៍,2026-01-30 07:14:16.342756+00,2026-01-30 07:18:33.476469+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
47,43405d26-476c-47a5-8c53-1e07d46aea67,admin.clinic.general.timeDate.timeFormat,en,Time Format,2026-01-30 07:19:03.391537+00,2026-01-30 07:19:03.391537+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
48,610baa96-0a92-4025-8623-43272e06ac14,admin.clinic.general.timeDate.timeFormat,vi,Định dạng giờ,2026-01-30 07:19:03.392454+00,2026-01-30 07:19:03.392454+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
49,d4d2c481-8fe8-48d2-a947-b6fff6ecc51e,admin.clinic.general.timeDate.timeFormat,km,ទម្រង់ពេលវេលា,2026-01-30 07:19:03.40157+00,2026-01-30 07:19:03.40157+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
50,ae2ac699-4dae-4659-95d2-3a1635690ed9,admin.clinic.general.updateSuccess,vi,Đã cập nhật cài đặt chung.,2026-01-30 07:15:08.387534+00,2026-01-30 12:28:14.214022+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
51,7f18615f-b895-462d-9ab3-e0210bc71710,admin.clinic.general.updateSuccess,en,General settings updated successfully.,2026-01-30 07:15:08.388085+00,2026-01-30 12:28:14.214482+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
52,926f4d21-0b24-49cb-b062-a6539c3beb67,admin.clinic.general.updateSuccess,km,បានធ្វើបច្ចុប្បន្នភាពការកំណត់ទូទៅដោយជោគជ័យ,2026-01-30 07:15:08.396806+00,2026-01-30 12:28:14.259781+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
53,cedd2e93-7fc3-4e88-88a5-d477abf3f61a,admin.clinic.general.timeDate.start,vi,Bắt đầu,2026-01-30 07:24:19.763544+00,2026-01-30 07:24:19.763544+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
54,c41884ec-1ddc-4522-96a0-0c7a5555a18a,admin.clinic.general.timeDate.start,en,Start,2026-01-30 07:24:19.772403+00,2026-01-30 07:24:19.772403+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
55,72b16305-748a-45d8-b007-2dc42b0a743f,admin.clinic.general.timeDate.start,km,ចាប់ផ្តើម,2026-01-30 07:24:19.777717+00,2026-01-30 07:24:19.777717+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
56,8d6c629e-84bb-49c1-814e-7422c8bb3f98,admin.clinic.general.timeDate.lunchBreak,en,Lunch Break,2026-01-30 07:24:47.567911+00,2026-01-30 07:24:47.567911+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
57,5528d381-4198-4997-b4b0-e0fbb3855ece,admin.clinic.general.timeDate.lunchBreak,km,សម្រាកអាហារថ្ងៃត្រង់,2026-01-30 07:24:47.594674+00,2026-01-30 07:24:47.594674+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
58,0dabddfd-6d3d-4833-ba3a-c2d155912a9c,admin.clinic.general.timeDate.lunchBreak,vi,Giờ nghỉ trưa,2026-01-30 07:24:47.578824+00,2026-01-30 07:24:47.578824+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
59,101d7721-3f9e-4354-9fe9-22c28b53112d,admin.appointments.noDoctors,en,No doctors assigned. Please add doctors in staff management.,2026-01-30 07:21:58.547918+00,2026-01-30 07:25:01.924958+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
60,0e9b2897-d6cc-49a9-8ac7-9cece6eb16dd,admin.appointments.noDoctors,km,មិនមានគ្រូពេទ្យត្រូវបានចាត់តាំងទេ។ សូមបន្ថែមគ្រូពេទ្យនៅក្នុងបញ្ជីគ្រប់គ្រងបុគ្គលិក។,2026-01-30 07:21:58.546682+00,2026-01-30 07:25:01.918462+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
61,c441a0d8-ac29-4297-85d5-43b85682062b,admin.appointments.noDoctors,vi,Chưa có bác sĩ nào được phân công. Vui lòng thêm bác sĩ trong phần quản lý nhân viên.,2026-01-30 07:21:58.541782+00,2026-01-30 07:25:01.921864+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
62,8753fe41-cbaf-4130-b775-8ab46e84c19e,admin.appointments.predictedAvg,en,Predicted Avg/Day,2026-01-30 07:26:06.617596+00,2026-01-30 07:26:06.617596+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
63,c9787e5c-965b-413d-aae4-07cac9cde736,admin.appointments.predictedAvg,vi,Dự đoán TB/ngày,2026-01-30 07:26:06.627878+00,2026-01-30 07:26:06.627878+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
64,c1495697-6d76-43b9-a45a-5f8f70fe878b,admin.appointments.predictedAvg,km,មធ្យមភាគដែលបានព្យាករណ៍ក្នុងមួយថ្ងៃ,2026-01-30 07:26:06.62788+00,2026-01-30 07:26:06.62788+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
65,1c9386b9-01ed-4456-9f63-b6ddffdc5ae5,admin.clinic.general.timeDate.end,vi,Kết thúc,2026-01-30 07:25:01.902403+00,2026-01-30 07:26:09.111213+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
66,dd0bf310-6833-43b5-a98e-44c5fb8c6278,admin.clinic.general.timeDate.end,km,បញ្ចប់,2026-01-30 07:26:09.123149+00,2026-01-30 07:26:09.123149+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
67,e7dcc589-dc8d-4481-a31b-8a5d449d254b,admin.clinic.general.timeDate.end,en,End,2026-01-30 07:25:01.906112+00,2026-01-30 07:26:09.122563+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
68,878d5b03-36ec-47cb-9d04-78a5ecf1d961,admin.clinic.general.timeDate.description,en,Configure timezone and time format for the clinic.,2026-01-30 07:26:52.992079+00,2026-01-30 07:26:52.992079+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
69,a4bfb6dc-2027-4c69-8252-bebf52f277b6,admin.clinic.general.timeDate.description,vi,Cấu hình múi giờ và định dạng thời gian cho phòng khám.,2026-01-30 07:26:52.998336+00,2026-01-30 07:26:52.998336+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
70,017ebaa3-97c4-4028-8dc3-4c89cb8e85af,admin.clinic.general.timeDate.description,km,កំណត់រចនាសម្ព័ន្ធតំបន់ពេលវេលា និងទម្រង់ពេលវេលាសម្រាប់គ្លីនិក,2026-01-30 07:26:52.996999+00,2026-01-30 07:26:52.996999+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
71,b90403c5-202b-405e-8a1c-eab605e2c40c,admin.clinic.general.timeDate.dateFormat,en,Date Format,2026-01-30 07:27:16.930858+00,2026-01-30 07:27:16.930858+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
72,ada22508-34fa-4851-88b2-be4ad4d88ec8,admin.clinic.general.timeDate.dateFormat,vi,Định dạng ngày,2026-01-30 07:27:16.930738+00,2026-01-30 07:27:16.930738+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
73,728accf7-677e-4692-818e-b0244fb0920a,admin.clinic.general.timeDate.dateFormat,km,ទម្រង់កាលបរិច្ឆេទ,2026-01-30 07:27:16.933042+00,2026-01-30 07:27:16.933042+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
74,2856683c-330a-49bd-9b7c-e94cedecb3d2,admin.clinic.general.timeDate.currency,vi,Loại tiền,2026-01-30 07:27:40.654607+00,2026-01-30 07:27:40.654607+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
75,0d379376-4235-4b9d-a638-0a645b455546,admin.clinic.general.timeDate.currency,en,Currency,2026-01-30 07:27:40.656637+00,2026-01-30 07:27:40.656637+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
76,fb35b9f6-9caa-421e-8182-8af4dfcc610e,admin.clinic.general.timeDate.currency,km,រូបិយប័ណ្ណ,2026-01-30 07:27:40.658785+00,2026-01-30 07:27:40.658785+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
77,db74ccda-c925-4f5c-9032-569efd99227b,admin.appointments.recurring,vi,Lịch tái khám,2026-01-30 08:34:35.263693+00,2026-01-30 08:34:35.263693+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
78,e1abc086-4d45-4d0c-8c2a-f9130e786dde,admin.appointments.recurring,en,Follow-up Schedule,2026-01-30 08:34:35.22245+00,2026-01-30 08:34:35.22245+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
79,09817bab-536d-4909-a3fc-877e68786644,admin.appointments.recurring,km,កាលវិភាគតាមដាន,2026-01-30 08:34:35.217217+00,2026-01-30 08:34:35.217217+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
80,2463b4c6-d1dd-422c-a431-11212922fd87,admin.clinic.fee.serviceFee,vi,Phí dịch vụ,2026-01-30 08:54:01.34697+00,2026-01-30 08:54:01.34697+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
81,2e933b47-f725-4295-b880-d42f5d3a947e,admin.clinic.fee.serviceFee,en,Service Fee,2026-01-30 08:54:01.389538+00,2026-01-30 08:54:01.389538+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
82,579e1218-f566-4bf7-9125-13581b031f69,admin.clinic.fee.serviceFee,km,ថ្លៃសេវា,2026-01-30 08:54:01.454171+00,2026-01-30 08:54:01.454171+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
83,289dc0f5-733c-47fa-a252-d07e38aaf81e,admin.clinic.general.appointment.requirePhoneVerificationDesc,km,អ្នកជំងឺត្រូវតែផ្ទៀងផ្ទាត់ទូរស័ព្ទនៅពេលកក់មុន,2026-01-30 09:08:03.923152+00,2026-01-30 09:08:03.923152+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
84,837de852-c6c7-49cc-8f21-68f10ba02faa,admin.clinic.general.appointment.requirePhoneVerificationDesc,vi,Bệnh nhân phải xác minh SĐT khi đặt lịch lần đầu.,2026-01-30 09:08:03.925965+00,2026-01-30 09:08:03.925965+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
85,b132a262-ca30-4421-b36d-046b748645f5,admin.clinic.general.appointment.requirePhoneVerificationDesc,en,Patients must verify phone on first booking.,2026-01-30 09:08:03.929862+00,2026-01-30 09:08:03.929862+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
86,09d57dcb-0b5c-4a96-95f6-0dfe51bbabce,admin.clinic.general.appointment.slotDuration,vi,Thời lượng slot (phút),2026-01-30 09:08:43.513284+00,2026-01-30 09:08:43.513284+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
87,0aae995c-9012-4d81-adff-31bac78600cc,admin.clinic.general.appointment.slotDuration,en,Slot Duration (minutes),2026-01-30 09:08:43.520509+00,2026-01-30 09:08:43.520509+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
88,48171b7d-9833-444e-9b46-dc1b6f1e999a,admin.clinic.general.appointment.slotDuration,km,ចន្លោះពេល (នាទី),2026-01-30 09:08:43.538849+00,2026-01-30 09:08:43.538849+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
89,cf47bc17-828b-49d5-99aa-e67faa83af6a,admin.clinic.general.appointment.title,en,Appointment Settings,2026-01-30 09:09:41.913456+00,2026-01-30 09:09:41.913456+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
90,e39af580-4278-4095-8fb1-3d933520ef3c,admin.clinic.general.appointment.title,km,ការកំណត់ការណាត់ជួប,2026-01-30 09:09:41.915528+00,2026-01-30 09:09:41.915528+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
91,04eec514-ec9e-4a4a-abf6-f2b03354cacb,admin.clinic.general.appointment.title,vi,Cài đặt lịch hẹn,2026-01-30 09:09:41.922609+00,2026-01-30 09:09:41.922609+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
92,2abe5cce-e04b-44d8-a786-8f582f633dbc,admin.clinic.general.codeSettings.appointmentCode,km,លេខកូដណាត់ជួប,2026-01-30 09:09:59.885909+00,2026-01-30 09:09:59.885909+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
93,581b640d-ab1a-4068-8a96-a57be6ae61b4,admin.clinic.general.codeSettings.appointmentCode,vi,Mã lịch khám,2026-01-30 09:09:59.905785+00,2026-01-30 09:09:59.905785+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
94,cbe4d4b4-7560-4fcf-afb7-c481e7aac949,admin.clinic.general.codeSettings.appointmentCode,en,Appointment Code,2026-01-30 09:09:59.943538+00,2026-01-30 09:09:59.943538+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
95,a26c37c3-5c30-4582-b036-4ea458357fee,admin.clinic.general.codeSettings.description,en,Configure code templates for system objects.,2026-01-30 09:10:12.016451+00,2026-01-30 09:10:12.016451+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
96,e84374ac-247d-4aa1-81f3-bb348b3ff94f,admin.clinic.general.codeSettings.description,km,កំណត់រចនាសម្ព័ន្ធគំរូកូដសម្រាប់វត្ថុប្រព័ន្ធ,2026-01-30 09:10:12.021966+00,2026-01-30 09:10:12.021966+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
97,e85e63c8-5eb9-4467-a5b2-c07c1130903f,admin.clinic.general.codeSettings.description,vi,Cấu hình mẫu mã cho các đối tượng trong hệ thống.,2026-01-30 09:10:12.03596+00,2026-01-30 09:10:12.03596+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
98,46e1efbf-2cc4-4612-88db-af862a2c4f25,admin.clinic.general.codeSettings.drugCode,km,លេខកូដឱសថ,2026-01-30 09:11:03.377561+00,2026-01-30 09:11:03.377561+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
99,2e79b31a-ece0-4ac2-91a9-c24992784147,admin.clinic.general.codeSettings.drugCode,en,Drug Code,2026-01-30 09:11:03.385171+00,2026-01-30 09:11:03.385171+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
100,bde631ff-4927-475d-848d-6c9ab151924c,admin.clinic.general.codeSettings.drugCode,vi,Mã thuốc,2026-01-30 09:11:03.389195+00,2026-01-30 09:11:03.389195+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
101,54151643-98cd-4846-b31a-d66ba4d755a2,admin.clinic.general.codeSettings.imagingCode,vi,Mã chẩn đoán hình ảnh,2026-01-30 09:11:16.900705+00,2026-01-30 09:11:16.900705+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
102,6c38b703-0a9d-471a-8ed5-18370375dc0a,admin.clinic.general.codeSettings.imagingCode,km,កូដរូបភាព,2026-01-30 09:11:16.951454+00,2026-01-30 09:11:16.951454+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
103,e50d5bf9-3058-4003-a842-9cc99010ed80,admin.clinic.general.codeSettings.imagingCode,en,Imaging Code,2026-01-30 09:11:17.012024+00,2026-01-30 09:11:17.012024+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
104,ec10b488-e103-4ad2-a819-09d4dbed26d1,admin.clinic.general.codeSettings.labCode,vi,Mã xét nghiệm,2026-01-30 09:11:30.08401+00,2026-01-30 09:11:30.08401+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
105,df7c3ffd-7a1f-4f70-b06f-acae2bbbb242,admin.clinic.general.codeSettings.labCode,en,Lab Code,2026-01-30 09:11:30.089548+00,2026-01-30 09:11:30.089548+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
106,05dc1ba5-edc2-40b2-8234-ff269c5228ec,admin.clinic.general.codeSettings.labCode,km,លេខកូដមន្ទីរពិសោធន៍,2026-01-30 09:11:30.11441+00,2026-01-30 09:11:30.11441+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
107,f2ea7c8e-4e56-49a8-9a99-1ca3e4d1f2fc,admin.clinic.general.codeSettings.minLength,km,ប្រវែងអប្បបរមា,2026-01-30 09:12:12.316351+00,2026-01-30 09:12:12.316351+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
108,ce89b8f3-3737-4c4b-89bc-d6be58970ed1,admin.clinic.general.codeSettings.minLength,vi,Độ dài tối thiểu,2026-01-30 09:11:43.507466+00,2026-01-30 09:12:12.314693+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
109,85a42316-b10d-4bc3-8450-4bbe3589f28e,admin.clinic.general.codeSettings.minLength,en,Minimum Length,2026-01-30 09:11:43.495481+00,2026-01-30 09:12:12.325616+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
110,ab505c8c-9ac0-4bca-9e6c-dfa3b89a8929,admin.clinic.general.codeSettings.patientCode,en,Patient Code,2026-01-30 09:12:24.305037+00,2026-01-30 09:12:24.305037+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
111,dd9584c6-2439-42a0-8cde-2ff6c78d76a7,admin.clinic.general.codeSettings.patientCode,vi,Mã bệnh nhân,2026-01-30 09:12:24.310283+00,2026-01-30 09:12:24.310283+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
112,199a8e4e-e4b2-457a-bf08-4a7fdc588aa6,admin.clinic.general.codeSettings.patientCode,km,លេខកូដអ្នកជំងឺ,2026-01-30 09:12:24.321767+00,2026-01-30 09:12:24.321767+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
